#anno-id:19934
#source:sejong
#text:회사는 김씨를 올해의 VIP로 임용했다.
0	회사는	_	_	B-Selector
1	김씨를	_	_	B-Official
2	올해의	_	_	B-Role
3	VIP로	_	_	I-Role
4	임용했다.	임용하다.v	Appointing	O

#anno-id:23561
#source:sejong
#text:우리들은 어제 영수의 함을 팔러 갔다.
0	우리들은	_	_	B-Seller
1	어제	_	_	B-Time
2	영수의	_	_	B-Goods
3	함을	_	_	I-Goods
4	팔러	팔다.v	Commerce_sell	O
5	갔다.	_	_	O

#anno-id:24122
#source:sejong
#text:그 여자는 낮에 남편에게 한 말이 후회되어 잠을 이루지 못했다.
0	그	_	_	B-Experiencer
1	여자는	_	_	I-Experiencer
2	낮에	_	_	B-Action
3	남편에게	_	_	I-Action
4	한	_	_	I-Action
5	말이	_	_	I-Action
6	후회되어	후회되다.v	Contrition	O
7	잠을	_	_	O
8	이루지	_	_	O
9	못했다.	_	_	O

#anno-id:22438
#source:sejong
#text:선생님은 나의 의견이 황당무계하다고 일소해 버리셨다.
0	선생님은	_	_	B-Agent
1	나의	_	_	B-Cause
2	의견이	_	_	I-Cause
3	황당무계하다고	_	_	I-Cause
4	일소해	일소하다.v	Removing	O
5	버리셨다.	_	_	O

#anno-id:23315
#source:sejong
#text:판사는 법 위반자를 구속시키는 일에 인색해서는 안 되지만 그것보다 더 중요한 것은 형평성을 지키는 것이다.
0	판사는	_	_	O
1	법	_	_	B-Prisoner
2	위반자를	_	_	I-Prisoner
3	구속시키는	구속시키다.v	Imprisonment	O
4	일에	_	_	O
5	인색해서는	_	_	O
6	안	_	_	O
7	되지만	_	_	O
8	그것보다	_	_	O
9	더	_	_	O
10	중요한	_	_	O
11	것은	_	_	O
12	형평성을	_	_	O
13	지키는	_	_	O
14	것이다.	_	_	O

#anno-id:18975
#source:sejong
#text:IMF로 우수한 기술이 없는 업체들은 모두 녹아 버렸다.
0	IMF로	_	_	O
1	우수한	_	_	B-Patient
2	기술이	_	_	I-Patient
3	없는	_	_	I-Patient
4	업체들은	_	_	I-Patient
5	모두	_	_	B-Manner
6	녹아	녹다.v	Change_of_phase	O
7	버렸다.	_	_	O

#anno-id:23818
#source:sejong
#text:경찰은 치안을 이유로 학생들을 수금했다.
0	경찰은	_	_	B-Agent
1	치안을	_	_	B-Purpose
2	이유로	_	_	I-Purpose
3	학생들을	_	_	B-Theme
4	수금했다.	수금하다.v	Inhibit_movement	O

#anno-id:18117
#source:sejong
#text:여동생은 오빠에게 끊임없이 뭐라고 재잘거리고 있었다.
0	여동생은	_	_	B-Message
1	오빠에게	_	_	I-Message
2	끊임없이	_	_	I-Message
3	뭐라고	_	_	I-Message
4	재잘거리고	재잘거리다.v	Communication_noise	O
5	있었다.	_	_	O

#anno-id:21754
#source:sejong
#text:내가 대충 눈짐작한 것만으로도 그가 대학생이 아니라는 것을 알 수 있었다.
0	내가	_	_	B-Speaker
1	대충	_	_	B-Manner
