#anno-id:11919
#source:jp.FrameNet
#text:이것을 못하는, 또는 하려고 하지 않는 교사는, 유약하고, 교직에 몸담은 자로서, 받아들여질 수 없으며, 용서받을 만하지 없다.
0	이것을	_	_	B-State_of_affairs
1	못하는,	_	_	I-State_of_affairs
2	또는	_	_	I-State_of_affairs
3	하려고	_	_	I-State_of_affairs
4	하지	_	_	I-State_of_affairs
5	않는	_	_	I-State_of_affairs
6	교사는,	_	_	I-State_of_affairs
7	유약하고,	_	_	O
8	교직에	_	_	O
9	몸담은	_	_	O
10	자로서,	_	_	O
11	받아들여질	_	_	O
12	수	_	_	O
13	없으며,	_	_	O
14	용서받을	_	_	O
15	만하지	만하다.v	Desirable_event	O
16	없다.	_	_	O

#anno-id:11820
#source:jp.FrameNet
#text:도깨비는 「약속대로 여자를 데려왔지만, 100일간은 절대로 여자에게 손을 대서는 안된다.
0	도깨비는	_	_	O
1	「약속대로	_	_	O
2	여자를	_	_	O
3	데려왔지만,	_	_	O
4	100일간은	_	_	B-Duration
5	절대로	_	_	O
6	여자에게	_	_	B-Phenomenon
7	손을	_	_	B-Body_part
8	대서는	대다.v	Perception_active	O
9	안된다.	_	_	O

#anno-id:16589
#source:jp.FrameNet
#text:창호지 담당이 아닌 분들은 재미가 없을지 모르나, 어떻게 애초의 상품구성 목표를 검증하고, 어떻게 진열을 바꾸어 재고 상태를 개선했는지, 실례를 보며 자신의 사업에 대입시켜 보면서 참고하기 바란다.
0	창호지	_	_	O
1	담당이	_	_	O
2	아닌	_	_	O
3	분들은	_	_	O
4	재미가	_	_	O
5	없을지	_	_	O
6	모르나,	_	_	O
7	어떻게	_	_	O
8	애초의	_	_	O
9	상품구성	_	_	O
10	목표를	_	_	O
11	검증하고,	_	_	O
12	어떻게	_	_	O
13	진열을	_	_	O
14	바꾸어	_	_	O
15	재고	_	_	B-Theme
16	상태를	상태.n	Storing	I-Theme
17	개선했는지,	_	_	O
18	실례를	_	_	O
19	보며	_	_	O
20	자신의	_	_	O
21	사업에	_	_	O
22	대입시켜	_	_	O
23	보면서	_	_	O
24	참고하기	_	_	O
25	바란다.	_	_	O

#anno-id:16659
#source:jp.FrameNet
#text:초교, 재교, 삼교, 교정을 진행하는 사이에 참 적절한 제목이라고 생각하게 되었다.
0	초교,	_	_	O
1	재교,	_	_	O
2	삼교,	_	_	O
3	교정을	_	_	O
4	진행하는	_	_	O
5	사이에	_	_	O
6	참	_	_	B-Opinion
7	적절한	_	_	I-Opinion
8	제목이라고	_	_	I-Opinion
9	생각하게	생각하다.v	Opinion	O
10	되었다.	_	_	O

#anno-id:16178
#source:jp.FrameNet
#text:어디까지나, 지금은 파티시에가 제1후보 정도 되겠지요.
0	어디까지나,	_	_	O
1	지금은	_	_	B-Time
2	파티시에가	_	_	B-Action
3	제1후보	_	_	I-Action
4	정도	_	_	O
5	되겠지요.	되다.a	Deny_or_grant_permission	O

#anno-id:16405
#source:jp.FrameNet
#text:저항이 나를 점점 더 부채질했다.
0	저항이	저항.n	Repel	O
1	나를	_	_	B-Enemy
2	점점	_	_	O
3	더	_	_	O
4	부채질했다.	_	_	O

#anno-id:11689
#source:jp.FrameNet
#text:아버님은 아루쿠를, 아루쿠만을 사랑하고 있었다.
0	아버님은	_	_	B-Experiencer
1	아루쿠를,	_	_	B-Content
2	아루쿠만을	_	_	I-Content
3	사랑하고	사랑하다.v	Experiencer_focus	O
4	있었다.	_	_	O

#anno-id:16231
#source:jp.FrameNet
#text:호메로스에게는 「사람은 죽으면 하늘로 올라간다」는 사상이 전혀 없다.
0	호메로스에게는	_	_	O
1	「사람은	사람.n	People	B-Person
2	죽으면	_	_	O
3	하늘로	_	_	O
4	올라간다」는	_	_	O
5	사상이	_	_	O
6	전혀	_	_	O
7	없다.	_	_	O

#anno-id:16595
#source:jp.FrameNet
#text:창호지 담당이 아닌 분들은 재미가 없을지 모르나, 어떻게 애초의 상품구성 목표를 검증하고, 어떻게 진열을 바꾸어 재고 상태를 개선했는지, 실례를 보며 자신의 사업에 대입시켜 보면서 참고하기 바란다.
0	창호지	_	_	O
1	담당이	_	_	O
2	아닌	_	_	O
3	분들은	_	_	O
4	재미가	_	_	O
5	없을지	_	_	O
6	모르나,	_	_	O
7	어떻게	_	_	O
8	애초의	_	_	O
9	상품구성	_	_	O
10	목표를	_	_	O
11	검증하고,	_	_	O
12	어떻게	_	_	O
13	진열을	_	_	O
14	바꾸어	_	_	O
15	재고	_	_	O
16	상태를	_	_	O
17	개선했는지,	_	_	O
18	실례를	_	_	B-Ground
19	보며	보다.v	Inspecting	O
20	자신의	_	_	O
21	사업에	_	_	O
22	대입시켜	_	_	O
23	보면서	_	_	O
24	참고하기	_	_	O
25	바란다.	_	_	O

#anno-id:12210
#source:jp.FrameNet
#text:갑종합격이었다.
0	갑종합격이었다.	갑종.n	First_rank	B-Item

#anno-id:11949
#source:jp.FrameNet
#text:잘하는 아이들은, 이 사실을 잘 알고 있어, 학업에 힘쓴다.
0	잘하는	_	_	B-Cognizer
1	아이들은,	_	_	I-Cognizer
2	이	_	_	B-Content
3	사실을	_	_	I-Content
4	잘	_	_	B-Degree
5	알고	알다.v	Awareness	O
6	있어,	_	_	O
7	학업에	_	_	O
8	힘쓴다.	_	_	O

#anno-id:16740
#source:jp.FrameNet
#text:「단지리행렬」이 야쿠모쵸 사람들 속에 깊이 침투하게 된 것은, 1985년의 「단지리행렬」에 「히로사키 네푸타」가 특별 참가한 것에 기인한다.
0	「단지리행렬」이	_	_	O
1	야쿠모쵸	_	_	B-State_of_affairs
2	사람들	_	_	I-State_of_affairs
3	속에	_	_	I-State_of_affairs
4	깊이	_	_	I-State_of_affairs
5	침투하게	_	_	I-State_of_affairs
6	된	_	_	I-State_of_affairs
7	것은,	_	_	I-State_of_affairs
8	1985년의	_	_	B-Fact
9	「단지리행렬」에	_	_	I-Fact
10	「히로사키	_	_	I-Fact
11	네푸타」가	_	_	I-Fact
12	특별	_	_	I-Fact
13	참가한	_	_	I-Fact
14	것에	_	_	I-Fact
15	기인한다.	기인하다.v	Explaining_the_facts	O

#anno-id:12427
#source:jp.FrameNet
